id	organism_name	kingdom	sequence_length	cleavage_site	validation_n	sp_type	transmembrane
Q9WUB6	Mus musculus	Metazoa	687		3	0	True
Q08949	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	612		3	0	False
P53077	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	123		5	0	False
Q8TBR7	Homo sapiens	Metazoa	257		5	0	True
Q800K6	Xenopus laevis	Metazoa	1513		4	0	False
Q64318	Mus musculus	Metazoa	1117		2	0	False
Q9LMK5	Arabidopsis thaliana	Viridiplantae	160		5	0	False
Q8CFC7	Mus musculus	Metazoa	668		3	0	False
Q9SWA6	Arabidopsis thaliana	Viridiplantae	432		3	0	False
Q5GH67	Mus musculus	Metazoa	647		3	0	False
P52172	Drosophila melanogaster	Metazoa	1264		3	0	False
Q8IXH6	Homo sapiens	Metazoa	220		1	0	False
Q149B8	Mus musculus	Metazoa	807		4	0	False
Q9C9M6	Arabidopsis thaliana	Viridiplantae	196		3	0	False
P34537	Caenorhabditis elegans	Metazoa	837		2	0	False
Q08157	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	551		5	0	True
Q9XVD5	Caenorhabditis elegans	Metazoa	303		5	0	False
Q9H0U6	Homo sapiens	Metazoa	180		1	0	False
Q9WV02	Mus musculus	Metazoa	391		2	0	False
Q94BT9	Arabidopsis thaliana	Viridiplantae	76		4	0	False
O00712	Homo sapiens	Metazoa	420		1	0	False
Q8LAC4	Arabidopsis thaliana	Viridiplantae	322		2	0	False
Q99728	Homo sapiens	Metazoa	777		1	0	False
Q8IWA0	Homo sapiens	Metazoa	830		1	0	False
Q9UJA2	Homo sapiens	Metazoa	301		1	0	False
Q2V2Q1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	113		5	0	False
P40160	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	425		3	0	False
Q96GM8	Homo sapiens	Metazoa	510		1	0	False
Q9FVR6	Arabidopsis thaliana	Viridiplantae	296		5	0	False
Q7Z4T9	Homo sapiens	Metazoa	767		1	0	False
Q15543	Homo sapiens	Metazoa	124		1	0	False
P28324	Homo sapiens	Metazoa	431		1	0	False
Q92540	Homo sapiens	Metazoa	1137		1	0	False
Q7RZ62	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	347		5	0	False
O74329	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	56		5	0	False
Q20024	Caenorhabditis elegans	Metazoa	306		3	0	False
Q13325	Homo sapiens	Metazoa	482		2	0	False
Q96SY0	Homo sapiens	Metazoa	518		1	0	False
Q59UY7	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	917		4	0	False
Q9P0N8	Homo sapiens	Metazoa	246		2	0	False
P53259	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	346		3	0	False
Q3UHA3	Mus musculus	Metazoa	2430		2	0	False
Q9CR24	Mus musculus	Metazoa	210		2	0	False
P40366	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	167		4	0	False
Q39056	Arabidopsis thaliana	Viridiplantae	270		4	0	False
Q9ZR07	Arabidopsis thaliana	Viridiplantae	187		2	0	False
O55207	Rattus norvegicus	Metazoa	1496		3	0	False
Q03482	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	75		5	0	False
Q8VCF0	Mus musculus	Metazoa	503		2	0	False
Q06625	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1536		2	0	False
Q8RWD5	Arabidopsis thaliana	Viridiplantae	577		5	0	False
Q9QWH1	Mus musculus	Metazoa	850		2	0	False
Q10210	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	391		5	0	False
Q94ID2	Arabidopsis thaliana	Viridiplantae	330		2	0	False
Q96HE9	Homo sapiens	Metazoa	360		4	0	False
Q06682	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	500		4	0	False
Q9BWW7	Homo sapiens	Metazoa	348		1	0	False
D3YZI9	Mus musculus	Metazoa	523		5	0	False
P14164	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	731		2	0	False
Q86YI8	Homo sapiens	Metazoa	300		1	0	False
Q01593	Arabidopsis thaliana	Viridiplantae	720		3	0	False
O15027	Homo sapiens	Metazoa	2357		1	0	False
Q6A0D4	Mus musculus	Metazoa	554		3	0	False
Q9P258	Homo sapiens	Metazoa	522		1	0	False
O74386	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	248		5	0	False
P70372	Mus musculus	Metazoa	326		3	0	False
Q9SR43	Arabidopsis thaliana	Viridiplantae	329		4	0	False
Q4WGE2	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	607		5	0	True
P87227	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	672		4	0	False
O43913	Homo sapiens	Metazoa	435		1	0	False
P42698	Arabidopsis thaliana	Viridiplantae	387		3	0	False
P40360	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	574		2	0	False
Q9P0Z9	Homo sapiens	Metazoa	390		1	0	False
Q6ZT62	Homo sapiens	Metazoa	677		1	0	False
P40474	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	542		5	0	True
O64517	Arabidopsis thaliana	Viridiplantae	418		2	0	False
Q9VMA3	Drosophila melanogaster	Metazoa	1117		3	0	False
P47139	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	656		5	0	False
O43918	Homo sapiens	Metazoa	545		1	0	False
P09108	Tetronarce californica	Metazoa	412		4	0	False
Q64727	Mus musculus	Metazoa	1066		4	0	False
Q80SU7	Mus musculus	Metazoa	2427		5	0	False
P36136	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	271		3	0	False
Q12513	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	150		3	0	False
Q8LEG1	Arabidopsis thaliana	Viridiplantae	258		2	0	False
O15226	Homo sapiens	Metazoa	690		1	0	False
Q3UL53	Mus musculus	Metazoa	246		2	0	False
Q9H7D7	Homo sapiens	Metazoa	661		1	0	False
Q86TP1	Homo sapiens	Metazoa	453		2	0	False
Q9JKU3	Rattus norvegicus	Metazoa	1749		2	0	False
Q63398	Rattus norvegicus	Metazoa	584		2	0	False
Q12018	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	815		3	0	False
Q9XVS8	Caenorhabditis elegans	Metazoa	405		5	0	False
A0A075TMP0	Penicillium expansum	Fungi	340		4	0	False
P22342	Euglena viridis	Other	102		5	0	False
P30085	Homo sapiens	Metazoa	196		1	0	False
Q9Y5N6	Homo sapiens	Metazoa	252		1	0	False
Q96QF0	Homo sapiens	Metazoa	476		2	0	False
O23210	Arabidopsis thaliana	Viridiplantae	486		5	0	False
Q93YQ3	Arabidopsis thaliana	Viridiplantae	323		4	0	False
P59540	Homo sapiens	Metazoa	309		4	0	True
Q9UM54	Homo sapiens	Metazoa	1294		2	0	False
P32904	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	214		4	0	False
P36088	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	180		3	0	False
Q9Z1P6	Mus musculus	Metazoa	113		5	0	False
Q9BWN1	Homo sapiens	Metazoa	585		2	0	False
Q02775	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	382		3	0	False
Q924C5	Mus musculus	Metazoa	1680		2	0	False
P27882	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	189		2	0	False
P36516	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	390		4	0	False
S8EZA7	Toxoplasma gondii (strain ATCC 50611 / Me49)	Other	534		4	0	True
P53335	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	271		3	0	False
Q6ZIK5	Oryza sativa subsp. japonica	Viridiplantae	394		2	0	False
Q13277	Homo sapiens	Metazoa	289		1	0	False
Q09725	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1587		4	0	False
Q3KRA9	Homo sapiens	Metazoa	238		1	0	False
Q9UTH0	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1162		4	0	False
P48237	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	864		2	0	False
P03968	Bos taurus	Metazoa	155		2	0	False
Q9Z110	Mus musculus	Metazoa	795		2	0	False
Q9JMB1	Mus musculus	Metazoa	375		3	0	False
Q9P3U7	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	547		5	0	True
P38826	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	435		2	0	False
Q6GLP4	Xenopus laevis	Metazoa	391		4	0	False
P04080	Homo sapiens	Metazoa	98		1	0	False
Q9CWR0	Mus musculus	Metazoa	618		3	0	False
P48382	Homo sapiens	Metazoa	616		1	0	False
P53207	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	620		3	0	False
P36956	Homo sapiens	Metazoa	1147		2	0	False
Q5T9L3	Homo sapiens	Metazoa	541		2	0	True
P39961	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	794		5	0	False
Q5ABU7	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	564		4	0	False
Q9NH52	Caenorhabditis elegans	Metazoa	898		3	0	False
Q90ZS6	Xenopus laevis	Metazoa	1271		5	0	False
A0A7J6K629	Toxoplasma gondii	Other	547		5	0	True
Q8R4C2	Mus musculus	Metazoa	606		5	0	False
Q96BP2	Homo sapiens	Metazoa	118		1	0	False
Q18221	Caenorhabditis elegans	Metazoa	1507		2	0	False
Q9VRV7	Drosophila melanogaster	Metazoa	121		5	0	False
B7SXM5	Danio rerio	Metazoa	180		2	0	False
Q8WQX5	Trypanosoma brucei brucei	Other	976		4	0	False
Q9NX47	Homo sapiens	Metazoa	278		1	0	False
Q12117	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	320		5	0	True
Q5VY09	Homo sapiens	Metazoa	327		1	0	False
Q02099	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	2386		4	0	False
Q9HCS7	Homo sapiens	Metazoa	855		1	0	False
Q63472	Rattus norvegicus	Metazoa	962		4	0	False
Q9NZD1	Homo sapiens	Metazoa	345		1	0	True
Q9NXZ1	Homo sapiens	Metazoa	904		5	0	False
P38850	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1070		2	0	False
O94423	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	421		5	0	False
P22035	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	811		4	0	False
Q96Q11	Homo sapiens	Metazoa	434		1	0	False
Q05123	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	467		2	0	False
P54725	Homo sapiens	Metazoa	363		1	0	False
Q60465	Cricetulus longicaudatus	Metazoa	590		5	0	False
A0A0U2UYC4	Mycosarcoma maydis	Fungi	493		5	0	False
Q3SXM5	Homo sapiens	Metazoa	330		1	0	False
Q03782	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	492		4	0	False
Q8LJT8	Arabidopsis thaliana	Viridiplantae	743		4	0	False
P40380	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	230		4	0	False
O04479	Arabidopsis thaliana	Viridiplantae	199		2	0	False
Q08961	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	583		4	0	False
P38874	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	309		3	0	False
Q92945	Homo sapiens	Metazoa	711		1	0	False
Q03188	Homo sapiens	Metazoa	943		2	0	False
P10127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	382		2	0	False
O43719	Homo sapiens	Metazoa	755		1	0	False
A4GSN8	Arabidopsis thaliana	Viridiplantae	2093		4	0	False
O22267	Arabidopsis thaliana	Viridiplantae	1122		3	0	True
Q18919	Caenorhabditis elegans	Metazoa	558		4	0	False
Q03280	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	3268		3	0	False
F4IXE7	Arabidopsis thaliana	Viridiplantae	1189		2	0	False
Q8BMB0	Mus musculus	Metazoa	1264		4	0	False
Q99LT0	Mus musculus	Metazoa	99		4	0	False
Q9NYF8	Homo sapiens	Metazoa	920		2	0	False
O94580	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	282		4	0	False
P41133	Mus musculus	Metazoa	119		3	0	False
Q07349	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	420		5	0	False
Q9Y7N1	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	240		5	0	False
Q06411	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	708		3	0	False
Q16774	Homo sapiens	Metazoa	197		1	0	False
Q9SDW0	Arabidopsis thaliana	Viridiplantae	323		3	0	False
O13339	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	988		4	0	False
Q96H22	Homo sapiens	Metazoa	339		2	0	False
P48015	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	400		4	0	False
P42858	Homo sapiens	Metazoa	3142		2	0	False
P41910	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	395		5	0	False
P23023	Drosophila melanogaster	Metazoa	549		2	0	False
Q04347	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	519		4	0	False
P32489	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	222		4	0	False
Q9UPX6	Homo sapiens	Metazoa	916		2	0	False
Q8L493	Arabidopsis thaliana	Viridiplantae	373		2	0	False
O94868	Homo sapiens	Metazoa	740		2	0	False
Q9W1V7	Drosophila melanogaster	Metazoa	452		4	0	False
Q04477	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	213		3	0	False
O13702	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	450		5	0	False
Q8C1E7	Mus musculus	Metazoa	343		2	0	False
Q8LDV3	Arabidopsis thaliana	Viridiplantae	185		5	0	False
Q9R0W5	Rattus norvegicus	Metazoa	495		3	0	True
P82094	Homo sapiens	Metazoa	1093		2	0	False
P36632	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	614		5	0	False
Q01064	Homo sapiens	Metazoa	536		1	0	False
P51163	Mus musculus	Metazoa	265		2	0	False
Q8MUF9	Dictyostelium discoideum	Other	649		2	0	False
Q5SQP1	Mus musculus	Metazoa	306		3	0	False
P21675	Homo sapiens	Metazoa	1893		1	0	False
Q22799	Caenorhabditis elegans	Metazoa	89		3	0	False
P48612	Drosophila melanogaster	Metazoa	395		3	0	False
Q8VHQ2	Mus musculus	Metazoa	579		3	0	False
Q3UZP0	Mus musculus	Metazoa	555		3	0	False
Q7SA88	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	439		5	0	False
Q9Z2S7	Mus musculus	Metazoa	137		3	0	False
P17214	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	699		2	0	False
Q8NCN2	Homo sapiens	Metazoa	500		4	0	False
Q9ZUX4	Arabidopsis thaliana	Viridiplantae	113		5	0	False
A2AG06	Mus musculus	Metazoa	965		3	0	False
A2XFC1	Oryza sativa subsp. indica	Viridiplantae	442		4	0	False
Q9UII2	Homo sapiens	Metazoa	106		1	0	False
Q09666	Homo sapiens	Metazoa	5890		1	0	False
O00483	Homo sapiens	Metazoa	81		1	0	True
P42073	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	533		2	0	False
Q9USW9	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	244		5	0	False
Q9BT23	Homo sapiens	Metazoa	127		1	0	False
Q8N635	Homo sapiens	Metazoa	442		1	0	False
Q9NVD7	Homo sapiens	Metazoa	372		2	0	False
Q86B87	Drosophila melanogaster	Metazoa	610		3	0	False
P07703	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	335		3	0	False
Q9P1T7	Homo sapiens	Metazoa	246		1	0	False
Q3UZD5	Mus musculus	Metazoa	596		2	0	False
Q12259	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	485		5	0	False
Q08932	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	381		5	0	False
Q01295	Drosophila melanogaster	Metazoa	727		2	0	False
P25208	Homo sapiens	Metazoa	207		1	0	False
D3YN49	Xenopus laevis	Metazoa	316		4	0	False
Q5JS13	Homo sapiens	Metazoa	557		1	0	False
Q6NZN1	Mus musculus	Metazoa	1644		4	0	False
Q9BRQ5	Homo sapiens	Metazoa	295		1	0	True
Q9NPG3	Homo sapiens	Metazoa	1134		2	0	False
Q9Y2L1	Homo sapiens	Metazoa	958		2	0	False
Q8NDZ2	Homo sapiens	Metazoa	872		2	0	False
Q95RV2	Drosophila melanogaster	Metazoa	345		3	0	False
P60602	Homo sapiens	Metazoa	79		1	0	True
Q5TYM5	Homo sapiens	Metazoa	149		4	0	False
O22920	Arabidopsis thaliana	Viridiplantae	831		5	0	True
Q03771	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	387		3	0	False
Q99MV7	Mus musculus	Metazoa	1640		3	0	False
Q8W593	Arabidopsis thaliana	Viridiplantae	350		3	0	False
P15771	Gallus gallus	Metazoa	694		5	0	False
Q9LEZ1	Arabidopsis thaliana	Viridiplantae	144		3	0	False
P47050	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	842		3	0	False
Q8N0S6	Homo sapiens	Metazoa	344		1	0	False
P18480	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	905		2	0	False
Q9UMN6	Homo sapiens	Metazoa	2715		1	0	False
O17386	Caenorhabditis elegans	Metazoa	458		3	0	True
O95714	Homo sapiens	Metazoa	4834		2	0	False
Q01519	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	83		3	0	False
O35826	Rattus norvegicus	Metazoa	722		2	0	False
P20941	Homo sapiens	Metazoa	246		1	0	False
Q06668	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	471		5	0	False
Q6K9U2	Oryza sativa subsp. japonica	Viridiplantae	279		4	0	False
Q9VPF9	Drosophila melanogaster	Metazoa	373		5	0	False
Q66JW3	Mus musculus	Metazoa	526		2	0	False
Q15649	Homo sapiens	Metazoa	155		1	0	False
P51593	Rattus norvegicus	Metazoa	4454		2	0	False
Q9NSK7	Homo sapiens	Metazoa	141		1	0	True
P12294	Saccharomyces cerevisiae	Fungi	476		4	0	False
Q9CPQ8	Mus musculus	Metazoa	103		5	0	False
Q03654	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	590		3	0	False
Q7YTB0	Bombyx mori	Metazoa	661		4	0	False
Q8GY89	Arabidopsis thaliana	Viridiplantae	125		2	0	False
P47979	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	404		4	0	False
Q15785	Homo sapiens	Metazoa	309		1	0	False
Q10187	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	612		5	0	False
O60504	Homo sapiens	Metazoa	671		1	0	False
Q96T76	Homo sapiens	Metazoa	1030		2	0	False
Q96C12	Homo sapiens	Metazoa	935		1	0	False
Q9FPR3	Arabidopsis thaliana	Viridiplantae	933		3	0	False
P37263	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	153		5	0	False
Q5BKR2	Mus musculus	Metazoa	547		4	0	True
P41933	Caenorhabditis elegans	Metazoa	457		3	0	False
Q3U284	Mus musculus	Metazoa	315		4	0	True
Q9UST7	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1339		5	0	False
Q9FKP4	Arabidopsis thaliana	Viridiplantae	1264		3	0	False
Q9H7T9	Homo sapiens	Metazoa	357		2	0	False
P38281	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	316		5	0	False
Q9D1N4	Mus musculus	Metazoa	221		4	0	True
Q92989	Homo sapiens	Metazoa	425		1	0	False
Q8CDY7	Mus musculus	Metazoa	219		5	0	False
P42846	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	591		5	0	False
Q86Y97	Homo sapiens	Metazoa	462		1	0	False
Q8HTL5	Chlamydomonas reinhardtii	Viridiplantae	175		5	0	True
P33893	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	541		4	0	False
Q6PJG6	Homo sapiens	Metazoa	821		1	0	False
P12954	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1174		2	0	False
Q8VY77	Arabidopsis thaliana	Viridiplantae	91		3	0	True
Q07896	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	663		3	0	False
Q8NAV1	Homo sapiens	Metazoa	312		1	0	False
B2CW77	Homo sapiens	Metazoa	178		5	0	False
Q9H3P2	Homo sapiens	Metazoa	528		1	0	False
Q9SK71	Arabidopsis thaliana	Viridiplantae	430		4	0	False
Q7XZF5	Arabidopsis thaliana	Viridiplantae	1841		2	0	False
Q08417	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	382		3	0	True
Q6PDS3	Mus musculus	Metazoa	724		3	0	False
O95704	Homo sapiens	Metazoa	486		1	0	False
A6NGQ2	Homo sapiens	Metazoa	149		1	0	False
O74350	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	299		5	0	False
Q8ISM1	Giardia intestinalis	Other	755		4	0	False
Q9M5P3	Arabidopsis thaliana	Viridiplantae	354		5	0	False
Q9LSC4	Arabidopsis thaliana	Viridiplantae	344		2	0	False
P38351	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	445		3	0	False
P14724	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	124		2	0	False
P98078	Mus musculus	Metazoa	766		4	0	False
Q08116	Homo sapiens	Metazoa	209		1	0	False
Q7SBR3	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	86		5	0	False
Q8MXU4	Caenorhabditis elegans	Metazoa	107		2	0	False
Q9SIY3	Arabidopsis thaliana	Viridiplantae	210		2	0	False
Q9CQJ4	Mus musculus	Metazoa	336		3	0	False
O23144	Arabidopsis thaliana	Viridiplantae	612		3	0	False
P23369	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	157		4	0	False
Q8NBI5	Homo sapiens	Metazoa	491		1	0	True
Q9H2G9	Homo sapiens	Metazoa	400		2	0	False
Q12144	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	273		5	0	True
Q6P4R8	Homo sapiens	Metazoa	1299		1	0	False
O60165	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	428		4	0	False
O46385	Bos taurus	Metazoa	2194		4	0	False
O65680	Arabidopsis thaliana	Viridiplantae	279		2	0	False
O55028	Mus musculus	Metazoa	412		2	0	False
O43172	Homo sapiens	Metazoa	522		1	0	False
O70372	Mus musculus	Metazoa	1122		3	0	False
Q8WWV3	Homo sapiens	Metazoa	396		1	0	False
Q10574	Caenorhabditis elegans	Metazoa	142		2	0	False
Q9BTL3	Homo sapiens	Metazoa	118		1	0	False
Q69XJ0	Oryza sativa subsp. japonica	Viridiplantae	295		2	0	False
G3UYX5	Mus musculus	Metazoa	1258		5	0	False
A8MQN2	Arabidopsis thaliana	Viridiplantae	616		2	0	False
G5EFY4	Caenorhabditis elegans	Metazoa	286		2	0	False
P0DPG3	Trypanosoma brucei brucei	Other	75		5	0	False
Q9UIA9	Homo sapiens	Metazoa	1087		1	0	False
O00463	Homo sapiens	Metazoa	557		1	0	False
A0A386CAB9	Danio rerio	Metazoa	1355		2	0	False
P87017	Aspergillus parasiticus (strain ATCC 56775 / NRRL 5862 / SRRC 143 / SU-1)	Fungi	278		4	0	False
Q59RL7	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	853		4	0	False
P47158	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	497		4	0	False
Q9UL40	Homo sapiens	Metazoa	294		1	0	False
Q9ZVD0	Arabidopsis thaliana	Viridiplantae	720		3	0	False
Q9H3S7	Homo sapiens	Metazoa	1636		2	0	False
P83111	Homo sapiens	Metazoa	547		1	0	False
P53718	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	249		4	0	False
Q9H227	Homo sapiens	Metazoa	469		1	0	False
Q9UIG0	Homo sapiens	Metazoa	1483		1	0	False
Q9WV78	Rattus norvegicus	Metazoa	438		4	0	True
Q86WX3	Homo sapiens	Metazoa	136		1	0	False
Q9UBQ5	Homo sapiens	Metazoa	218		1	0	False
O75844	Homo sapiens	Metazoa	475		2	0	True
B9EJG8	Homo sapiens	Metazoa	249		4	0	True
P52960	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	996		2	0	False
P12198	Nicotiana tabacum	Viridiplantae	55		5	0	False
Q04003	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	481		2	0	False
Q9LR64	Arabidopsis thaliana	Viridiplantae	174		4	0	False
Q6S5L8	Homo sapiens	Metazoa	630		2	0	False
P19517	Oryctolagus cuniculus	Metazoa	524		5	0	False
Q08902	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	515		5	0	True
Q10335	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	397		5	0	False
Q86W42	Homo sapiens	Metazoa	341		1	0	False
Q12285	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	212		2	0	False
Q9D995	Mus musculus	Metazoa	334		3	0	False
Q8NFT6	Homo sapiens	Metazoa	615		1	0	False
Q07794	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	436		2	0	False
O75955	Homo sapiens	Metazoa	427		2	0	False
F4JTE7	Arabidopsis thaliana	Viridiplantae	298		2	0	False
O35445	Mus musculus	Metazoa	180		3	0	False
Q2HJ10	Mus musculus	Metazoa	371		4	0	True
B7Z0L8	Drosophila melanogaster	Metazoa	178		3	0	False
P38801	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	184		2	0	False
Q68CP9	Homo sapiens	Metazoa	1835		1	0	False
Q3UHH1	Mus musculus	Metazoa	1832		2	0	False
Q8I4V8	Plasmodium falciparum (isolate 3D7)	Other	304		4	0	False
P07195	Homo sapiens	Metazoa	334		1	0	False
Q9JIY2	Mus musculus	Metazoa	491		3	0	False
P40014	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	221		3	0	False
Q86TV6	Homo sapiens	Metazoa	843		1	0	False
Q15760	Homo sapiens	Metazoa	415		4	0	True
Q8NG66	Homo sapiens	Metazoa	645		1	0	False
Q06389	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	190		3	0	False
P40576	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	216		4	0	True
Q9Y2Y6	Homo sapiens	Metazoa	226		2	0	True
O43082	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	233		5	0	False
P53838	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	576		3	0	True
A0A1C3NSL9	Caenorhabditis elegans	Metazoa	1644		4	0	False
Q09924	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	467		5	0	False
O35394	Rattus norvegicus	Metazoa	185		4	0	True
P41073	Drosophila melanogaster	Metazoa	716		3	0	False
P33400	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	625		3	0	False
O48528	Arabidopsis thaliana	Viridiplantae	159		3	0	True
